opex_date,year,month,opex_wk,1wk_to_opex,2wk_to_opex,3wk_to_opex
1/17/20,2020,Jan,0.0197,0.0094,-0.0016,0.0058
2/21/20,2020,Feb,-0.0125,0.0158,0.0317,-0.0212
3/20/20,2020,mar,-0.1498,-0.0879,0.0061,-0.1149
4/17/20,2020,Apr,0.0304,0.121,-0.0208,0.1026
5/15/20,2020,May,-0.0226,0.035,-0.0021,-0.0132
6/19/20,2020,Jun,0.0186,-0.0478,0.0491,0.0301
7/17/20,2020,Jul,0.0125,0.0176,0.0402,-0.0286
8/21/20,2020,Aug,0.0072,0.0064,0.0245,0.0173
9/18/20,2020,Sep,-0.0064,-0.0251,-0.0231,0.0326
10/16/20,2020,Oct,0.0019,0.0384,0.0152,-0.0063
11/20/20,2020,Nov,-0.0077,0.0216,0.0732,-0.0564
12/18/20,2020,Dec,0.0125,-0.0096,0.0167,0.0227
1/15/21,2021,Jan,0.0072,0.0183,0.0143,-0.0017
2/19/21,2021,Feb,-0.0064,0.0123,0.0465,-0.0331
3/19/21,2021,Mar,0.0019,0.0264,0.0081,-0.0245
4/16/21,2021,Apr,-0.0077,0.0271,0.0114,0.0157
5/21/21,2021,May,0.0137,-0.0139,0.0123,0.0002
6/18/21,2021,Jun,-0.0043,0.0041,0.0061,0.0116
7/16/21,2021,Jul,-0.0191,0.004,0.0167,0.0274